epoch,method,seed,test_acc,test_loss
1,linear,2026,0.511,1.4858688049316406
2,linear,2026,0.639,1.1591477966308594
3,linear,2026,0.704,0.978058609008789
4,linear,2026,0.725,0.8984615097045898
1,linear,2027,0.433,1.6831370849609375
2,linear,2027,0.585,1.3206979217529298
3,linear,2027,0.668,1.0966727828979492
4,linear,2027,0.7,0.9803738021850585
1,bitfit,2026,0.545,1.4074972381591797
2,bitfit,2026,0.684,0.9955868453979492
3,bitfit,2026,0.746,0.7693096771240234
4,bitfit,2026,0.788,0.649361442565918
1,bitfit,2027,0.46,1.6193290100097657
2,bitfit,2027,0.608,1.1813964233398437
3,bitfit,2027,0.731,0.8577859954833984
4,bitfit,2027,0.757,0.7169379577636719
1,ssf,2026,0.515,1.480200439453125
2,ssf,2026,0.641,1.153729362487793
3,ssf,2026,0.7,0.9722530593872071
4,ssf,2026,0.724,0.8924063339233398
1,ssf,2027,0.435,1.6781041564941406
2,ssf,2027,0.591,1.3162289581298827
3,ssf,2027,0.67,1.090612762451172
4,ssf,2027,0.7,0.9742181549072265
1,lora,2026,0.145,2.3600433197021484
2,lora,2026,0.137,2.321361373901367
3,lora,2026,0.153,2.2887482147216796
4,lora,2026,0.175,2.2476520233154296
1,lora,2027,0.103,2.5758480529785155
2,lora,2027,0.099,2.4839936828613283
3,lora,2027,0.118,2.4308625793457033
4,lora,2027,0.11,2.4231231536865234
1,adapter,2026,0.545,1.4390928802490235
2,adapter,2026,0.659,1.0844824752807618
3,adapter,2026,0.705,0.890031021118164
4,adapter,2026,0.717,0.8066265716552734
1,adapter,2027,0.536,1.4236893768310548
2,adapter,2027,0.615,1.11668994140625
3,adapter,2027,0.688,0.9241064910888672
4,adapter,2027,0.709,0.8927736740112304
1,full,2026,0.392,1.7214215545654297
2,full,2026,0.588,1.3084320831298828
3,full,2026,0.687,1.0138713760375977
4,full,2026,0.743,0.8458871231079101
1,full,2027,0.368,1.8251302185058593
2,full,2027,0.558,1.4003349151611328
3,full,2027,0.658,1.1265217895507813
4,full,2027,0.713,0.944743896484375
