device,method,seed,test_acc,test_loss,time_sec,total_params,trainable_params,trainable_percent
NVIDIA GeForce RTX 4060 Laptop GPU,linear,2026,0.725,0.8984615097045898,14.504140999999436,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,linear,2027,0.7,0.9803738021850585,13.794554699999935,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,bitfit,2026,0.788,0.649361442565918,14.503866299999572,11181642,9930,0.08880627728914949
NVIDIA GeForce RTX 4060 Laptop GPU,bitfit,2027,0.757,0.7169379577636719,13.938044099999388,11181642,9930,0.08880627728914949
NVIDIA GeForce RTX 4060 Laptop GPU,ssf,2026,0.724,0.8924063339233398,11.542927899999995,11182666,6154,0.055031599799189215
NVIDIA GeForce RTX 4060 Laptop GPU,ssf,2027,0.7,0.9742181549072265,11.612319799998659,11182666,6154,0.055031599799189215
NVIDIA GeForce RTX 4060 Laptop GPU,lora,2026,0.175,2.2476520233154296,12.496975100000782,11185818,4186,0.03742238609639456
NVIDIA GeForce RTX 4060 Laptop GPU,lora,2027,0.11,2.4231231536865234,12.333803499999703,11185818,4186,0.03742238609639456
NVIDIA GeForce RTX 4060 Laptop GPU,adapter,2026,0.717,0.8066265716552734,12.74161710000044,11247754,71242,0.6333886747523105
NVIDIA GeForce RTX 4060 Laptop GPU,adapter,2027,0.709,0.8927736740112304,13.099253999998837,11247754,71242,0.6333886747523105
NVIDIA GeForce RTX 4060 Laptop GPU,full,2026,0.743,0.8458871231079101,14.580345599999418,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,full,2027,0.713,0.944743896484375,13.97111170000062,11181642,11181642,100.0
