epoch,experiment_id,method,seed,test_acc,test_loss
1,E1,linear_probe,2026,0.465,1.5915109100341798
2,E1,linear_probe,2026,0.633,1.2036016464233399
3,E1,linear_probe,2026,0.689,1.0255579986572265
4,E1,linear_probe,2026,0.709,0.9492840881347656
5,E1,linear_probe,2026,0.731,0.8733482894897461
6,E1,linear_probe,2026,0.739,0.8431332931518555
7,E1,linear_probe,2026,0.744,0.8206977462768554
8,E1,linear_probe,2026,0.736,0.8057121429443359
9,E1,linear_probe,2026,0.748,0.7879713134765625
10,E1,linear_probe,2026,0.751,0.7793661880493165
11,E1,linear_probe,2026,0.735,0.7825172271728515
12,E1,linear_probe,2026,0.754,0.7709348373413086
13,E1,linear_probe,2026,0.742,0.7751924667358399
14,E1,linear_probe,2026,0.761,0.7605568771362304
15,E1,linear_probe,2026,0.748,0.7624683456420899
1,E1,linear_probe,2027,0.424,1.6874596710205079
2,E1,linear_probe,2027,0.592,1.3078934631347656
3,E1,linear_probe,2027,0.679,1.0794787368774414
4,E1,linear_probe,2027,0.709,0.9708258666992188
5,E1,linear_probe,2027,0.711,0.9195067214965821
6,E1,linear_probe,2027,0.733,0.8625662918090821
7,E1,linear_probe,2027,0.725,0.8594546813964844
8,E1,linear_probe,2027,0.73,0.8397240753173828
9,E1,linear_probe,2027,0.737,0.8272589111328125
10,E1,linear_probe,2027,0.733,0.8205746383666992
11,E1,linear_probe,2027,0.739,0.8123339309692382
12,E1,linear_probe,2027,0.744,0.8162080383300782
13,E1,linear_probe,2027,0.743,0.8078247604370117
14,E1,linear_probe,2027,0.739,0.8172700576782227
15,E1,linear_probe,2027,0.738,0.8091173248291016
1,E2,partial_ft,2026,0.558,6.596580627441406
2,E2,partial_ft,2026,0.662,2.742024688720703
3,E2,partial_ft,2026,0.762,1.1523914794921875
4,E2,partial_ft,2026,0.79,0.9229242858886719
5,E2,partial_ft,2026,0.785,0.8616576766967774
6,E2,partial_ft,2026,0.802,0.7937781753540039
7,E2,partial_ft,2026,0.771,0.9316471176147461
8,E2,partial_ft,2026,0.769,0.9247688064575196
9,E2,partial_ft,2026,0.772,0.9575890350341797
10,E2,partial_ft,2026,0.763,0.9758392868041992
11,E2,partial_ft,2026,0.788,0.9069542617797851
12,E2,partial_ft,2026,0.773,0.9161910552978516
13,E2,partial_ft,2026,0.782,0.8922855453491211
14,E2,partial_ft,2026,0.782,0.8813625030517578
15,E2,partial_ft,2026,0.796,0.8658459091186523
1,E2,partial_ft,2027,0.585,5.03454818725586
2,E2,partial_ft,2027,0.663,2.551093414306641
3,E2,partial_ft,2027,0.682,1.8797516632080078
4,E2,partial_ft,2027,0.77,1.0455622253417969
5,E2,partial_ft,2027,0.79,0.8642872924804688
6,E2,partial_ft,2027,0.784,0.8774219055175781
7,E2,partial_ft,2027,0.785,0.8192398681640625
8,E2,partial_ft,2027,0.774,0.9322933197021485
9,E2,partial_ft,2027,0.759,0.9714299392700195
10,E2,partial_ft,2027,0.778,0.9526390228271484
11,E2,partial_ft,2027,0.782,0.846885368347168
12,E2,partial_ft,2027,0.783,0.8634557266235352
13,E2,partial_ft,2027,0.776,0.9440067672729492
14,E2,partial_ft,2027,0.771,0.9468704071044922
15,E2,partial_ft,2027,0.775,0.9215499038696289
1,E3,full_ft,2026,0.392,1.7319044036865234
2,E3,full_ft,2026,0.577,1.3128989715576171
3,E3,full_ft,2026,0.69,1.0144134674072265
4,E3,full_ft,2026,0.75,0.8445503463745118
5,E3,full_ft,2026,0.78,0.7592675628662109
6,E3,full_ft,2026,0.79,0.7048362197875977
7,E3,full_ft,2026,0.797,0.6657076873779297
8,E3,full_ft,2026,0.801,0.6342197036743165
9,E3,full_ft,2026,0.807,0.6121284790039062
10,E3,full_ft,2026,0.812,0.5974689254760742
11,E3,full_ft,2026,0.815,0.5865301971435547
12,E3,full_ft,2026,0.819,0.5764798278808594
13,E3,full_ft,2026,0.82,0.5695179519653321
14,E3,full_ft,2026,0.819,0.5638700790405273
15,E3,full_ft,2026,0.82,0.5576270561218262
1,E3,full_ft,2027,0.377,1.812915771484375
2,E3,full_ft,2027,0.565,1.3722521362304687
3,E3,full_ft,2027,0.665,1.0922641525268555
4,E3,full_ft,2027,0.717,0.9257679901123047
5,E3,full_ft,2027,0.745,0.8247440948486328
6,E3,full_ft,2027,0.769,0.7615148544311523
7,E3,full_ft,2027,0.775,0.7180745697021484
8,E3,full_ft,2027,0.775,0.6897122802734375
9,E3,full_ft,2027,0.782,0.6643102798461914
10,E3,full_ft,2027,0.786,0.6478831024169922
11,E3,full_ft,2027,0.788,0.6321069183349609
12,E3,full_ft,2027,0.79,0.6248064270019531
13,E3,full_ft,2027,0.794,0.6185398979187011
14,E3,full_ft,2027,0.797,0.614443862915039
15,E3,full_ft,2027,0.797,0.6085594062805175
1,E4,ssf_all,2026,0.471,1.5647029876708984
2,E4,ssf_all,2026,0.642,1.138042022705078
3,E4,ssf_all,2026,0.701,0.9453971862792969
4,E4,ssf_all,2026,0.735,0.8364136657714843
5,E4,ssf_all,2026,0.743,0.7859880905151367
6,E4,ssf_all,2026,0.752,0.7344504089355469
7,E4,ssf_all,2026,0.763,0.7070103454589843
8,E4,ssf_all,2026,0.769,0.7069295196533203
9,E4,ssf_all,2026,0.783,0.6717198638916015
10,E4,ssf_all,2026,0.78,0.6595475845336914
11,E4,ssf_all,2026,0.772,0.6729217147827149
12,E4,ssf_all,2026,0.797,0.6530599670410157
13,E4,ssf_all,2026,0.778,0.6585190353393555
14,E4,ssf_all,2026,0.792,0.6513256912231445
15,E4,ssf_all,2026,0.791,0.6490600051879882
1,E4,ssf_all,2027,0.45,1.6443184356689453
2,E4,ssf_all,2027,0.598,1.2289703369140625
3,E4,ssf_all,2027,0.706,0.9662358703613281
4,E4,ssf_all,2027,0.734,0.8528152313232422
5,E4,ssf_all,2027,0.742,0.7897527313232422
6,E4,ssf_all,2027,0.757,0.7422270202636718
7,E4,ssf_all,2027,0.752,0.741650993347168
8,E4,ssf_all,2027,0.774,0.7106563110351563
9,E4,ssf_all,2027,0.775,0.7082988204956054
10,E4,ssf_all,2027,0.764,0.6975328102111816
11,E4,ssf_all,2027,0.775,0.6903856773376464
12,E4,ssf_all,2027,0.77,0.6911238098144531
13,E4,ssf_all,2027,0.778,0.6798913040161133
14,E4,ssf_all,2027,0.768,0.6991089363098144
15,E4,ssf_all,2027,0.777,0.6857395172119141
1,E5,ssf_l4,2026,0.474,1.5812382354736327
2,E5,ssf_l4,2026,0.638,1.1886404190063478
3,E5,ssf_l4,2026,0.694,1.0123537063598633
4,E5,ssf_l4,2026,0.71,0.9382379531860352
5,E5,ssf_l4,2026,0.729,0.8628183364868164
6,E5,ssf_l4,2026,0.736,0.8309018173217774
7,E5,ssf_l4,2026,0.745,0.8090799102783203
8,E5,ssf_l4,2026,0.734,0.7964926452636719
9,E5,ssf_l4,2026,0.751,0.7811388168334961
10,E5,ssf_l4,2026,0.748,0.771376937866211
11,E5,ssf_l4,2026,0.741,0.7745514831542969
12,E5,ssf_l4,2026,0.755,0.7650657043457031
13,E5,ssf_l4,2026,0.745,0.771821907043457
14,E5,ssf_l4,2026,0.756,0.7568753814697265
15,E5,ssf_l4,2026,0.754,0.7592483444213867
1,E5,ssf_l4,2027,0.435,1.6796586303710936
2,E5,ssf_l4,2027,0.594,1.2997710418701172
3,E5,ssf_l4,2027,0.681,1.068366844177246
4,E5,ssf_l4,2027,0.712,0.9602392272949218
5,E5,ssf_l4,2027,0.711,0.9081243133544922
6,E5,ssf_l4,2027,0.735,0.8506922149658203
7,E5,ssf_l4,2027,0.725,0.8492949981689453
8,E5,ssf_l4,2027,0.73,0.8301013565063476
9,E5,ssf_l4,2027,0.742,0.8188101501464844
10,E5,ssf_l4,2027,0.738,0.814675651550293
11,E5,ssf_l4,2027,0.741,0.8072108001708984
12,E5,ssf_l4,2027,0.737,0.8125257720947265
13,E5,ssf_l4,2027,0.746,0.8050373001098633
14,E5,ssf_l4,2027,0.741,0.8216168670654297
15,E5,ssf_l4,2027,0.741,0.8139262313842773
1,E6,ssf_l34,2026,0.479,1.57098388671875
2,E6,ssf_l34,2026,0.639,1.1532906494140625
3,E6,ssf_l34,2026,0.706,0.9664422225952148
4,E6,ssf_l34,2026,0.726,0.8733341140747071
5,E6,ssf_l34,2026,0.742,0.8079996643066406
6,E6,ssf_l34,2026,0.753,0.7641086196899414
7,E6,ssf_l34,2026,0.768,0.7429533615112305
8,E6,ssf_l34,2026,0.756,0.7335323333740235
9,E6,ssf_l34,2026,0.77,0.7053230590820313
10,E6,ssf_l34,2026,0.782,0.6980754776000977
11,E6,ssf_l34,2026,0.766,0.7021030578613281
12,E6,ssf_l34,2026,0.778,0.6905091094970703
13,E6,ssf_l34,2026,0.772,0.6946512222290039
14,E6,ssf_l34,2026,0.775,0.6829110717773438
15,E6,ssf_l34,2026,0.773,0.6836131286621093
1,E6,ssf_l34,2027,0.44,1.6553364562988282
2,E6,ssf_l34,2027,0.603,1.2561920852661133
3,E6,ssf_l34,2027,0.695,1.0122010955810548
4,E6,ssf_l34,2027,0.714,0.8978044815063476
5,E6,ssf_l34,2027,0.723,0.8458022689819336
6,E6,ssf_l34,2027,0.746,0.7886388626098633
7,E6,ssf_l34,2027,0.742,0.7905083389282227
8,E6,ssf_l34,2027,0.757,0.7690504837036133
9,E6,ssf_l34,2027,0.756,0.756843864440918
10,E6,ssf_l34,2027,0.753,0.74840283203125
11,E6,ssf_l34,2027,0.756,0.7429977951049804
12,E6,ssf_l34,2027,0.76,0.7423772354125977
13,E6,ssf_l34,2027,0.755,0.7390182571411132
14,E6,ssf_l34,2027,0.755,0.7505305633544922
15,E6,ssf_l34,2027,0.764,0.7453493041992187
1,E7,linear_probe,2026,0.234,2.1188304901123045
2,E7,linear_probe,2026,0.313,1.8897936706542968
3,E7,linear_probe,2026,0.392,1.7006578216552735
4,E7,linear_probe,2026,0.47,1.5472188720703124
5,E7,linear_probe,2026,0.53,1.4310829010009765
6,E7,linear_probe,2026,0.571,1.331877685546875
7,E7,linear_probe,2026,0.596,1.2468252105712891
8,E7,linear_probe,2026,0.628,1.1837937088012696
9,E7,linear_probe,2026,0.643,1.1369233169555664
10,E7,linear_probe,2026,0.646,1.1016588363647462
11,E7,linear_probe,2026,0.659,1.071045639038086
12,E7,linear_probe,2026,0.656,1.0474456253051758
13,E7,linear_probe,2026,0.658,1.0289031066894532
14,E7,linear_probe,2026,0.665,1.0103525924682617
15,E7,linear_probe,2026,0.663,0.9938620834350586
1,E7,linear_probe,2027,0.166,2.3349046478271482
2,E7,linear_probe,2027,0.229,2.1021642456054686
3,E7,linear_probe,2027,0.337,1.854900405883789
4,E7,linear_probe,2027,0.422,1.6793949737548828
5,E7,linear_probe,2027,0.476,1.5704474334716796
6,E7,linear_probe,2027,0.513,1.4806471710205078
7,E7,linear_probe,2027,0.551,1.3970673065185546
8,E7,linear_probe,2027,0.575,1.3246701354980468
9,E7,linear_probe,2027,0.606,1.2695158081054687
10,E7,linear_probe,2027,0.608,1.2300642852783203
11,E7,linear_probe,2027,0.621,1.1953422393798827
12,E7,linear_probe,2027,0.621,1.164464973449707
13,E7,linear_probe,2027,0.637,1.1398551483154298
14,E7,linear_probe,2027,0.65,1.1216318359375
15,E7,linear_probe,2027,0.644,1.100483139038086
1,E7,partial_ft,2026,0.584,1.8568969421386718
2,E7,partial_ft,2026,0.608,2.5600050354003905
3,E7,partial_ft,2026,0.592,3.034053924560547
4,E7,partial_ft,2026,0.601,2.5911917419433594
5,E7,partial_ft,2026,0.62,2.3461180419921877
6,E7,partial_ft,2026,0.623,2.210379089355469
7,E7,partial_ft,2026,0.627,2.0720783996582033
8,E7,partial_ft,2026,0.649,1.9292985229492188
9,E7,partial_ft,2026,0.667,1.792884780883789
10,E7,partial_ft,2026,0.676,1.6657745361328125
11,E7,partial_ft,2026,0.69,1.5559568862915039
12,E7,partial_ft,2026,0.691,1.4614619750976563
13,E7,partial_ft,2026,0.705,1.3945953674316407
14,E7,partial_ft,2026,0.709,1.3351132583618164
15,E7,partial_ft,2026,0.711,1.2924407501220703
1,E7,partial_ft,2027,0.501,2.5279455871582033
2,E7,partial_ft,2027,0.519,3.1266086120605467
3,E7,partial_ft,2027,0.441,4.416466491699219
4,E7,partial_ft,2027,0.475,4.069542938232422
5,E7,partial_ft,2027,0.523,3.5395956115722655
6,E7,partial_ft,2027,0.566,2.9604732666015625
7,E7,partial_ft,2027,0.594,2.5649375915527344
8,E7,partial_ft,2027,0.604,2.3379930572509764
9,E7,partial_ft,2027,0.622,2.1664022369384766
10,E7,partial_ft,2027,0.642,2.0046632232666015
11,E7,partial_ft,2027,0.649,1.8709349517822265
12,E7,partial_ft,2027,0.653,1.7928988342285157
13,E7,partial_ft,2027,0.652,1.7421968231201173
14,E7,partial_ft,2027,0.662,1.6901683807373047
15,E7,partial_ft,2027,0.669,1.6392106475830077
1,E7,full_ft,2026,0.217,2.2120259704589844
2,E7,full_ft,2026,0.29,2.0349839477539065
3,E7,full_ft,2026,0.337,1.8861323852539063
4,E7,full_ft,2026,0.402,1.756725830078125
5,E7,full_ft,2026,0.455,1.640289810180664
6,E7,full_ft,2026,0.507,1.5362678680419921
7,E7,full_ft,2026,0.562,1.4461354064941405
8,E7,full_ft,2026,0.581,1.3674383239746093
9,E7,full_ft,2026,0.611,1.2983204040527343
10,E7,full_ft,2026,0.629,1.2391495513916015
11,E7,full_ft,2026,0.649,1.1899078826904297
12,E7,full_ft,2026,0.656,1.150623878479004
13,E7,full_ft,2026,0.662,1.1163627853393554
14,E7,full_ft,2026,0.671,1.0891971282958985
15,E7,full_ft,2026,0.685,1.0668001251220702
1,E7,full_ft,2027,0.158,2.4036235656738283
2,E7,full_ft,2027,0.225,2.177310119628906
3,E7,full_ft,2027,0.289,2.0072062072753907
4,E7,full_ft,2027,0.363,1.879005569458008
5,E7,full_ft,2027,0.413,1.775227569580078
6,E7,full_ft,2027,0.444,1.6842456665039063
7,E7,full_ft,2027,0.473,1.6052953491210937
8,E7,full_ft,2027,0.501,1.5347976989746093
9,E7,full_ft,2027,0.517,1.4753745574951171
10,E7,full_ft,2027,0.549,1.4255379180908203
11,E7,full_ft,2027,0.557,1.3823788299560547
12,E7,full_ft,2027,0.587,1.344387939453125
13,E7,full_ft,2027,0.598,1.3133500213623046
14,E7,full_ft,2027,0.606,1.2860975036621094
15,E7,full_ft,2027,0.613,1.2630255737304688
1,E7,ssf_all,2026,0.235,2.1128211517333986
2,E7,ssf_all,2026,0.319,1.8781710968017578
3,E7,ssf_all,2026,0.396,1.690384521484375
4,E7,ssf_all,2026,0.47,1.5322950744628907
5,E7,ssf_all,2026,0.531,1.4079879150390624
6,E7,ssf_all,2026,0.578,1.2957384490966797
7,E7,ssf_all,2026,0.612,1.1993986968994141
8,E7,ssf_all,2026,0.627,1.1339090423583984
9,E7,ssf_all,2026,0.646,1.0860377197265625
10,E7,ssf_all,2026,0.656,1.0505287017822265
11,E7,ssf_all,2026,0.667,1.014618537902832
12,E7,ssf_all,2026,0.671,0.9879447631835937
13,E7,ssf_all,2026,0.668,0.9701296463012695
14,E7,ssf_all,2026,0.673,0.9518880767822265
15,E7,ssf_all,2026,0.682,0.9386202239990235
1,E7,ssf_all,2027,0.164,2.332936004638672
