experiment_id,method,test_acc_mean,test_acc_std,test_loss_mean,time_sec_mean,total_params,trainable_params,trainable_percent
E1,linear_probe,0.713,0.0184,0.9394,9.49,11181642,5130,0.0459
E2,partial_ft,0.7715,0.0007,0.8802,7.72,11181642,8398858,75.1129
E3,full_ft,0.7305,0.0219,0.8947,8.04,11181642,11181642,100.0
E4,ssf_all,0.7335,0.0078,0.8295,8.15,11184586,8074,0.0722
E5,ssf_l4,0.713,0.017,0.9277,7.97,11183690,7178,0.0642
E6,ssf_l34,0.731,0.0198,0.8662,8.13,11184202,7690,0.0688
E7,full_ft,0.379,0.0283,1.8171,5.55,11181642,11181642,100.0
E7,linear_probe,0.464,0.0453,1.5882,5.62,11181642,5130,0.0459
E7,partial_ft,0.5605,0.0262,3.1316,5.46,11181642,8398858,75.1129
E7,ssf_all,0.475,0.0481,1.5675,5.68,11184586,8074,0.0722
E8,full_ft,0.577,0.0354,1.3508,5.98,11181642,11181642,100.0
E8,linear_probe,0.6355,0.0389,1.2265,7.21,11181642,5130,0.0459
E8,partial_ft,0.6775,0.0064,2.0647,5.66,11181642,8398858,75.1129
E8,ssf_all,0.6415,0.0361,1.154,6.6,11184586,8074,0.0722
X1,lora,0.143,0.0467,2.3354,8.9,11185818,4186,0.0374
X2,adapter,0.714,0.0085,0.8501,8.3,11247754,71242,0.6334
