device,experiment_id,method,seed,test_acc,test_loss,time_sec,total_params,trainable_params,trainable_percent
NVIDIA GeForce RTX 4060 Laptop GPU,E1,linear_probe,2026,0.748,0.7624683456420899,33.793091400002595,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E1,linear_probe,2027,0.738,0.8091173248291016,32.86337479999929,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E2,partial_ft,2026,0.796,0.8658459091186523,33.65036840000539,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E2,partial_ft,2027,0.775,0.9215499038696289,33.32132030000503,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E3,full_ft,2026,0.82,0.5576270561218262,38.386484999995446,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E3,full_ft,2027,0.797,0.6085594062805175,37.986311199994816,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E4,ssf_all,2026,0.791,0.6490600051879882,33.72382839999773,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,E4,ssf_all,2027,0.777,0.6857395172119141,36.05361739999353,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,E5,ssf_l4,2026,0.754,0.7592483444213867,34.417404700005136,11183690,7178,0.06418275184666242
NVIDIA GeForce RTX 4060 Laptop GPU,E5,ssf_l4,2027,0.741,0.8139262313842773,35.93359950000013,11183690,7178,0.06418275184666242
NVIDIA GeForce RTX 4060 Laptop GPU,E6,ssf_l34,2026,0.773,0.6836131286621093,35.09326730000612,11184202,7690,0.06875769947645795
NVIDIA GeForce RTX 4060 Laptop GPU,E6,ssf_l34,2027,0.764,0.7453493041992187,35.94526429999678,11184202,7690,0.06875769947645795
NVIDIA GeForce RTX 4060 Laptop GPU,E7,linear_probe,2026,0.663,0.9938620834350586,21.35022449999815,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E7,linear_probe,2027,0.644,1.100483139038086,23.193589800001064,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E7,partial_ft,2026,0.711,1.2924407501220703,21.22613360000105,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E7,partial_ft,2027,0.669,1.6392106475830077,21.93999280000571,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E7,full_ft,2026,0.685,1.0668001251220702,23.388215099999798,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E7,full_ft,2027,0.613,1.2630255737304688,22.25789860000077,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E7,ssf_all,2026,0.682,0.9386202239990235,22.659361199999694,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,E7,ssf_all,2027,0.659,1.0325508880615235,21.60766479999438,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,E8,linear_probe,2026,0.725,0.8465226364135742,26.510260499999276,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E8,linear_probe,2027,0.728,0.8594158248901367,25.90213799999765,11181642,5130,0.04587877165088992
NVIDIA GeForce RTX 4060 Laptop GPU,E8,partial_ft,2026,0.747,0.9773205413818359,26.642246600000362,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E8,partial_ft,2027,0.759,0.9345541534423828,26.181107900003553,11181642,8398858,75.11292169790448
NVIDIA GeForce RTX 4060 Laptop GPU,E8,full_ft,2026,0.779,0.7342031555175781,26.93656490000285,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E8,full_ft,2027,0.735,0.8131906127929688,28.39480000000185,11181642,11181642,100.0
NVIDIA GeForce RTX 4060 Laptop GPU,E8,ssf_all,2026,0.755,0.7359020614624023,28.68777720000071,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,E8,ssf_all,2027,0.75,0.7385391616821289,38.12961930000165,11184586,8074,0.07218863532364989
NVIDIA GeForce RTX 4060 Laptop GPU,X1,lora,2026,0.477,1.3417269287109375,46.08669419999933,11185818,4186,0.03742238609639456
NVIDIA GeForce RTX 4060 Laptop GPU,X1,lora,2027,0.235,1.9781406707763671,42.245392199998605,11185818,4186,0.03742238609639456
NVIDIA GeForce RTX 4060 Laptop GPU,X2,adapter,2026,0.71,0.966314437866211,48.6192416000049,11247754,71242,0.6333886747523105
NVIDIA GeForce RTX 4060 Laptop GPU,X2,adapter,2027,0.717,1.1044003143310548,40.202009499997075,11247754,71242,0.6333886747523105
